set,pokemon,nr,lang,note1,note2,online_price
BLK,Serpiroyal Ex,164,de,,,35.31
BS,Vulnona,12,de,,,14.55
BS,Garados,6,de,,,24.96
NG,Meganie,10,en,,,44.19
WP,Enton,20,en,,,
NG,Ampharos,1,en,,,13.27
NG,Azumarill,2,en,,,10.9
NR,Papungha,9,en,,,12.17
SK,Garados,10,de,H,,108.79
NDI,Scherox,10,de,,,15.0
SK,Expedition ins Unterirdische,140,de,Reverse,,22.39
AQ,Lektrobal,7,de,H,,5.48
AQ,Hunduster,86,de,Reverse,,7.79
SS,Pelipper,50,en,Reverse,,3.64
SS,Puppance,22,en,Reverse,,2.37
SS,Sengo,14,en,Holo,,17.66
SS,Lunastein,8,de,Holo,,13.97
RS,Geckarbor,75,de,Reverse,,4.53
RS,Lapras Ex,99,de,,,38.88
FL,Glutexo,31,de,Holo,,2.32
FL,Ditto,4,de,Holo,,
DX,Sterndu,27,de,Holo,,2.12
EM,Milotic,8,de,Holo,,3.65
HP,Aerodactyl,35,de,Stamp,,3.84
LM,Sarzenia,13,it,Holo,,7.03
LM,Roselia,42,en,Holo,,0.62
UF,Ho-Oh,27,it,Holo,,5.75
LA,Mamutel,9,de,Holo,,1.54
GE,Rotom,7,de,Holo,,2.48
STF,Lumineon,4,de,Reverse,,2.26
PL,Voltilamm,82,de,Reverse,,0.94
LM,Mew,10,de,Holo,,34.06
CRZ,Mew,10,de,GG,,0.02
SVP,Mew Ex,53,en,,,
SLG,Shining Mew,40,de,Holo,,57.13
PAF,Mew Ex,216,de,,,17.02
MEW,Mew Ex,205,de,,,15.57
MEW,Mew Ex,205,en,Metal,,15.57
WP,Mew,9,en,,,
CEL,Mew,11,de,,,2.08
FCO,Mew,29,de,,,4.7
DAA,Mew V,69,en,,,3.14
FST,Mew Vmax,114,de,,,9.29
FST,Mew Vmax,114,en,signed stamp,,9.29
EVO,Mew,53,en,Reverse,,13.8
HIF,Mew,32,de,Holo,,1.81
HIF,Mew,32,de,Reverse,,4.63
EVS,Flamara Vmax,18,en,,,5.95
EVS,Feelinara Vmax,75,de,,,7.24
NDI,Psiana,20,de,,,11.89
TR,Evoli,55,de,First-Edition,,1.31
UD,Nachtara,10,de,Holo,,37.73
EVS,Nachtara V,94,de,,,4.14
SUM,Psiana Gx,61,de,,,4.52
CRZ,Folipurba V,14,de,,,2.35
PRE,Blitza Ex,30,de,,,2.27
PRE,Psiana Ex,34,de,,,2.24
PRE,Evoli,74,de,Meisterball,,0.03
PRE,Nachtara Ex,60,de,,,4.58
PRE,Glaziola Ex,26,de,,,2.09
PRE,Feelinara Ex,41,de,,,2.06
